"player_name","salary","season","avg_pts_per_min"
"larry nance jr.",1207680,2017,0.376473654141437
"john jenkins",1050961,2018,0.356165841955316
"russell westbrook",38506482,2020,0.605213520196603
"jae crowder",6796117,2018,0.450687291632519
"e'twaun moore",8081363,2017,0.382654293475387
"nikola mirotic",12500000,2018,0.534858685212702
"stephen curry",37457154,2018,0.813335555643368
"brice johnson",1273920,2017,0.554360454360454
"giannis antetokounmpo",1873200,2015,0.482295329917261
"tyler johnson",845059,2016,0.46814713190025
"tayshaun prince",7707865,2015,0.147064670995007
"tyler johnson",5628000,2017,0.431503337331921
"aaron brooks",915243,2015,0.440285404264329
"james young",1749840,2016,0.320495807961608
"ryan arcidiacono",3e+06,2020,0.344084766243857
"delon wright",9473684,2020,0.359216514918377
"darrell arthur",3457149,2015,0.339347514759032
"thabo sefolosha",3850000,2017,0.388457142968917
"kyle singler",4837500,2017,0.614812460267006
"mike muscala",2028594,2020,0.531412715184186
"tyreke evans",10734586,2016,0.517101781259053
"raymond felton",980431,2017,0.424709046335579
"wesley matthews",512746,2019,0.303380087911007
"james johnson",2500000,2015,0.311123212195451
"robert sacre",981348,2016,0.375
"anthony davis",5607240,2015,0.710502237442552
"tony snell",10807143,2019,0.294507874246508
"devin booker",3314365,2019,0.740734644796154
"willie reed",1015696,2017,0.429547494988671
"jusuf nurkic",1921320,2017,0.550346018769737
"danilo gallinari",21587579,2019,0.619654841453081
"rajon rondo",1.4e+07,2017,0.32617212159451
"patty mills",3578947,2016,0.423896439406187
"kyle kuzma",1689840,2019,0.495603532965405
"jahlil okafor",4582680,2016,0.511929195795666
"christian wood",525093,2016,0.266689329189329
"brandon knight",13500000,2016,0.520565424789114
"elie okobo",1238464,2019,0.330101118817354
"thabo sefolosha",5250000,2019,0.188612477573262
"demar derozan",27739975,2020,0.632919391538861
"paul george",15937290,2015,0.686049561314092
"kelly oubre jr.",3208630,2019,0.551871918625536
"domantas sabonis",2440200,2017,0.491303608325341
"cameron bairstow",507336,2015,0.397782976827094
"jamal murray",3210840,2017,0.521918120443752
"bruno caboclo",1524000,2016,0.202246283128636
"rajon rondo",9500000,2016,0.291298504882386
"rudy gay",14500000,2020,0.530324451258434
"marshon brooks",60283,2018,0.466265173438689
"jordan hill",4e+06,2016,0.408543771043771
"taj gibson",1.4e+07,2019,0.367614684459073
"kelly olynyk",12537527,2019,0.457633964771272
"deandre jordan",11440123,2015,0.379883188356854
"clint capela",1189200,2015,0.381473316398132
"courtney lee",5450000,2015,0.33435930537047
"ky bowman",350189,2020,0.527777777777778
"trey lyles",2340600,2017,0.508664268737081
"anderson varejao",9704545,2015,0.30498952081821
"denzel valentine",2280600,2019,0.508798652251231
"chase budinger",206192,2016,0.188888888888889
"monte morris",1349383,2019,0.429838845139101
"wesley johnson",915243,2015,0.325471749145509
"marshall plumlee",543471,2017,0.235526315789474
"jimmy butler",16407500,2016,0.639804114652995
"cedi osman",2775000,2019,0.372251059052947
"alex poythress",35166,2017,0.376161616161616
"chris douglas-roberts",915243,2015,0.404406704406704
"demetrius jackson",1450000,2017,0.159499093755149
"luis scola",4868499,2015,0.374970220280019
"jj redick",13486300,2020,0.455203044795666
"dante cunningham",2850000,2016,0.276027699259077
"michael kidd-gilchrist",1.3e+07,2017,0.367909812213434
"tyreke evans",10203755,2017,0.61816463857383
"ben simmons",6434520,2018,0.490194278888478
"zach randolph",10361445,2017,0.560760385639901
"dzanan musa",1632240,2019,0.455336625270691
"donte divincenzo",2481000,2019,0.407467205347928
"damian jones",1544951,2019,0.314415884018461
"ike anigbogu",1378242,2018,0.0923076923076923
"jonas valanciunas",4660482,2016,0.468994429653194
"javale mcgee",1270964,2016,0.650837885761592
