X,player_name,salary,season
2807,bogdan bogdanovic,8529386,2020
3099,jalen brunson,1416852,2020
2016,khris middleton,1300000,2018
2012,jarrod uthoff,1312611,2018
1481,georges niang,650000,2017
1445,stephen zimmerman,950000,2017
2645,jakarr sampson,85458,2019
1658,demarre carroll,15400000,2018
2114,kaleb tarczewski,543471,2018
1343,malachi richardson,1439800,2017
2804,lonzo ball,8719320,2020
1231,lance stephenson,4000000,2017
2261,jordan clarkson,12500000,2019
1157,boris diaw,7000000,2017
2231,timofey mozgov,16000000,2019
69,channing frye,8579088,2015
1681,jeremy lin,12516746,2018
3156,damion lee,842327,2020
2275,dion waiters,11550000,2019
573,marcin gortat,11217391,2016
55,gerald wallace,10105855,2015
708,anthony morrow,3344000,2016
1041,lamarcus aldridge,20575005,2017
17,kevin love,15719063,2015
2655,eric moreland,17092,2019
1497,daniel ochefu,543471,2017
1128,meyers leonard,9213483,2017
2475,trey burke,1795015,2019
937,keith benson,845059,2016
3063,monte morris,1588231,2020
3110,isaac bonga,1416842,2020
1057,joakim noah,17000000,2017
168,mo williams,3965074,2015
2823,darrell arthur,7464912,2020
1161,ed davis,6666667,2017
1090,jordan clarkson,12500000,2017
23,roy hibbert,14898938,2015
941,devyn marble,845059,2016
1480,bobby brown,680534,2017
2211,jabari parker,20000000,2019
2121,beau beech,543471,2018
2482,furkan korkmaz,1740000,2019
1443,thomas robinson,980431,2017
2498,james ennis iii,1621415,2019
1742,channing frye,7420912,2018
474,kenyon martin,414551,2015
1662,james johnson,14651700,2018
2260,miles plumlee,12500000,2019
1309,rudy gobert,2121288,2017
2893,malik monk,4028400,2020
2894,patrick mccaw,4000000,2020
2736,kelly oubre jr.,15625000,2020
2573,dwayne bacon,1378242,2019
1071,danilo gallinari,15050000,2017
2899,p.j. washington,3831840,2020
378,rasual butler,915243,2015
2798,tyus jones,9258000,2020
978,pierre jackson,525093,2016
1889,tyler zeller,1933941,2018
940,shayne whittington,845059,2016
1267,nik stauskas,2993040,2017
293,ronny turiaf,1500000,2015
846,luke babbitt,1100602,2016
958,jonathon simmons,525093,2016
913,nate robinson,947276,2016
199,carlos delfino,3250000,2015
1584,pierre jackson,31969,2017
123,jj hickson,5381750,2015
2859,coby white,5307120,2020
2250,marcin gortat,13565218,2019
1401,jordan farmar,980431,2017
2713,terry rozier,19894737,2020
869,chris johnson,981348,2016
1051,tobias harris,17200000,2017
2662,chris paul,38506482,2020
934,johnny o'bryant iii,845059,2016
2066,keith benson,874636,2018
1554,ronnie price,276828,2017
1569,derrick williams,115344,2017
1946,beno udrih,1471382,2018
1821,zaza pachulia,3477600,2018
873,tyler hansbrough,947276,2016
3020,isaiah taylor,1620564,2020
3107,bruce brown,1416852,2020
1331,malik beasley,1627320,2017
2769,trevor ariza,12195122,2020
3019,isaiah thomas,1620564,2020
2339,ben simmons,6434520,2019
1449,tyler ulis,918369,2017
120,jamal crawford,5450000,2015
2828,brandon ingram,7265485,2020
2489,spencer dinwiddie,1656092,2019
1939,rakeem christmas,1471382,2018
942,jamychal green,845059,2016
1624,danilo gallinari,20559599,2018
2580,tyler dorsey,1378242,2019
1748,lance thomas,7119650,2018
390,alonzo gee,915243,2015
169,vince carter,3911981,2015
1612,dwight howard,23819725,2018
1163,victor oladipo,6552961,2017
2715,zach lavine,19500000,2020
287,pablo prigioni,1662961,2015
659,jonas jerebko,5000000,2016
2170,lebron james,35654150,2019
290,tyler ennis,1590720,2015
2175,paul george,30560700,2019
246,doug mcdermott,2277960,2015
2436,d.j. wilson,2534280,2019
1144,garrett temple,8000000,2017
2549,jeff green,1512601,2019
1784,marcus morris sr.,5000000,2018
991,jakarr sampson,258489,2016
2800,george hill,9133907,2020
1055,bismack biyombo,17000000,2017
1097,nikola pekovic,12100000,2017
584,jeff green,9650000,2016
1632,kawhi leonard,18868626,2018
2976,nassir little,2105520,2020
1770,alex abrines,5725000,2018
2940,luka samanic,2689920,2020
880,ricky ledo,947276,2016
335,damjan rudez,1100000,2015
876,hollis thompson,947276,2016
2879,enes freedom,4767000,2020
2527,isaiah thomas,1512601,2019
1108,wilson chandler,11233146,2017
72,jeremy lin,8374646,2015
2626,nik stauskas,504200,2019
1225,ben mclemore,4008882,2017
2225,evan fournier,17150000,2019
1549,nicolas brussino,543471,2017
472,kalin lucas,486446,2015
411,ray mccallum,816482,2015
1745,cole aldrich,7300000,2018
1678,nikola vucevic,12750000,2018
261,josh smith,2077000,2015
538,roy hibbert,15592217,2016
2639,tim frazier,196553,2019
2009,diamond stone,1312611,2018
1414,john lucas iii,980431,2017
2488,derrick white,1667160,2019
2356,trae young,5356440,2019
1628,tyler johnson,19245370,2018
1046,paul george,18314532,2017
2661,stephen curry,40231758,2020
429,jamaal franklin,816482,2015
431,jeff withey,816482,2015
1208,mike dunleavy,4837500,2017
3128,cody martin,1173310,2020
521,kevin love,19689000,2016
1988,stephen zimmerman,1312611,2018
2059,d.j. kennedy,874636,2018
1058,john wall,16957900,2017
1164,jodie meeks,6540000,2017
3114,kyle collinsworth,1378242,2020
2984,edmond sumner,2000000,2020
2641,ray spalding,184746,2019
1986,damian jones,1312611,2018
2707,serge ibaka,23271604,2020
2532,quincy pondexter,1512601,2019
